source,metric_path,metric,value
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,greedy_recipe[1].auc,auc,0.9436474123458458
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,greedy_recipe[0].auc,auc,0.9435108455781873
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,lowcorr_auc,lowcorr_auc,0.9435108455781873
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,best_single.oof_auc,oof_auc,0.9435108455781873
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed01_fs20260537_rs0p5_bt0p5_rsm1p0.json,oof_auc,oof_auc,0.9435108455781873
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed04_fs20260588_rs0p5_bt0p0_rsm0p95.json,oof_auc,oof_auc,0.9434692623791552
experiments\20260519_141433_phase3_neighborhood_core_ensemble_summary.json,logit_auc,logit_auc,0.943392707756749
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed00_fs20260520_rs0p1_bt0p0_rsm1p0.json,oof_auc,oof_auc,0.9433919669895756
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed08_fs20260656_rs1p0_bt0p0_rsm0p9.json,oof_auc,oof_auc,0.943367922573356
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed09_fs20260673_rs0p1_bt0p5_rsm0p9.json,oof_auc,oof_auc,0.9433616270446704
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed10_fs20260690_rs0p5_bt1p0_rsm0p9.json,oof_auc,oof_auc,0.9432582055656663
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed06_fs20260622_rs0p1_bt1p0_rsm0p95.json,oof_auc,oof_auc,0.9432163134398174
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed05_fs20260605_rs1p0_bt0p5_rsm0p95.json,oof_auc,oof_auc,0.9431345856311895
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed02_fs20260554_rs1p0_bt1p0_rsm1p0.json,oof_auc,oof_auc,0.9429900950720543
experiments\20260520_143243_catboost_diversity_smoke\summary.json,models[0].oof_auc,oof_auc,0.9428185863568466
experiments\20260520_143243_catboost_diversity_smoke\meta_seed00_stratified_rs0p1_bt0p0_rsm1p0.json,oof_auc,oof_auc,0.9428185863568466
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.greedy_recipe[0].auc,auc,0.9428185863568466
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.lowcorr_auc,lowcorr_auc,0.9428185863568466
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.best_single.auc,auc,0.9428185863568466
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.blend_report[0].oof_auc,oof_auc,0.9428185863568466
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.blend_report[1].oof_auc,oof_auc,0.9428185863568466
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.greedy_auc,greedy_auc,0.9428185863568466
experiments\20260519_141433_phase3_neighborhood_core_ensemble_summary.json,mean_auc,mean_auc,0.9425834561393234
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed07_fs20260639_rs0p5_bt2p0_rsm0p95.json,oof_auc,oof_auc,0.9425252856475204
experiments\20260520_144726_fast_catboost_diversity_12\meta_seed03_fs20260571_rs0p1_bt2p0_rsm1p0.json,oof_auc,oof_auc,0.9424481926358319
experiments\20260519_141433_phase3_neighborhood_core_ensemble_summary.json,rank_auc,rank_auc,0.9422321234355306
experiments\20260518_191305_phase2_cat_table_ensemble_summary.json,logit_auc,logit_auc,0.9410696122542568
experiments\20260518_191305_phase2_cat_table_ensemble_summary.json,mean_auc,mean_auc,0.9402281885221446
experiments\20260518_162851_phase2_core_ensemble_summary.json,hill_recipe[3].auc,auc,0.940137762774959
experiments\20260518_191326_phase2_plus_tablelog_ensemble_summary.json,hill_auc,hill_auc,0.940137762774959
experiments\20260518_162851_phase2_core_ensemble_summary.json,hill_auc,hill_auc,0.940137762774959
experiments\20260518_191326_phase2_plus_tablelog_ensemble_summary.json,hill_recipe[3].auc,auc,0.940137762774959
experiments\20260518_162851_phase2_core_ensemble_summary.json,hill_recipe[2].auc,auc,0.9401339634842684
experiments\20260518_191326_phase2_plus_tablelog_ensemble_summary.json,hill_recipe[2].auc,auc,0.9401339634842684
